run,sa_fitness
1,1.0077919443639525
2,0.9507084902926687
3,1.0408693132425384
4,1.1030396986380762
5,0.9797015357867286
6,1.0050492610837438
7,0.8535511445957695
8,1.1311851637206605
9,0.8619443639524775
10,0.9577325412923792
11,0.9544726166328601
12,0.8114546508258478
13,1.1842480440452041
14,0.9668255578093307
15,0.839655172413793
16,0.9794581280788177
17,1.0369313242538394
18,1.004027818023761
19,1.0403419298753982
20,1.0132367429730516
21,1.1524674007534048
22,1.1518762677484786
23,1.1172747029846422
24,1.0780165169516083
25,0.648152709359606
26,1.1394494349463924
27,1.055653433787308
28,1.1683280208635178
29,0.7876905244856565
30,1.025878006374964
